source_row,halo_id,galaxy_id,kind,ra_gal,dec_gal,observed_redshift_gal,euclid_nisp_h,lm_halo,true_redshift_halo,conc_vir_halo,rs_halo,rvir_halo,hpix_29_nest,h_ab,x_arcmin,y_arcmin,pdz_sigma_log1pz,synthetic_t,synthetic_error_alias,population
41110,3737400489577,9,1,186.01457,61.740303,0.29170507,1.5401198e-28,12.736176,0.29213426,6.537944,59.20953,387.10858,791664387265760617,20.93111374,4.410936449,-2.0178,0.02314724522,0.2511821183,0,Other hosts
42642,4443580058744,0,0,185.87474,61.704422,1.7202152,9.323446e-30,11.4098015,1.7188798,6.2378583,24.814734,154.79079,791661290049401262,23.97605885,0.4429665335,-4.17066,0.04979051494,0.9998669264,0,Other hosts
43142,4443580404945,0,0,185.88977,61.832756,1.7985779,4.4020707e-29,11.862877,1.7974997,5.9860444,36.85404,220.60991,791688299867592027,22.29085747,0.8694743489,3.52938,0.03504500283,1.025684316,0,Other hosts
43422,4140500827136,0,0,185.78413,61.69358,0.9880087,1.6261192e-29,11.259812,0.98571676,3.812154,35.16119,134.03987,791684796972050884,23.37211906,-2.128282512,-4.82118,0.04450604174,0.6572337142,0,Other hosts
44014,4442570311365,0,0,185.99683,61.68708,1.6103201,2.561046e-29,11.820075,1.6120887,5.6186895,37.634094,211.45428,791661315935102351,22.87895655,3.907526692,-5.21118,0.04019086983,1.012618579,0,Other hosts
44183,4443580060105,4,1,185.89839,61.718,1.7324059,1.0457814e-29,11.716823,1.73121,6.184731,31.65539,195.78008,791661483971230972,23.85139772,1.114084952,-3.35598,0.04869973002,0.9738005087,0,Other hosts
45798,3939460592564,5,1,186.01534,61.787018,0.6725668,5.252663e-29,11.947052,0.6716758,1.2759321,175.731,224.22083,791664667238573521,22.09905115,4.432786816,0.7851,0.0333666976,0.5100780496,0,Other hosts
46689,4443580441598,0,0,185.88855,61.828426,1.819731,1.4178993e-29,11.519701,1.8177042,3.354129,50.311707,168.75195,791688252897763906,23.52088653,0.8348542867,3.26958,0.04580775714,0.9828113509,0,Other hosts
46970,4140500827204,0,0,185.68486,61.775436,0.99086946,3.097306e-29,11.613203,0.9892605,6.755296,26.101318,176.32214,791685518082576315,22.67253972,-4.945277245,0.09018,0.03838472251,0.7022672449,0,Other hosts
47021,4140510417347,0,0,185.76733,61.87091,1.0063444,1.3764199e-29,11.168596,1.0070577,18.787115,6.665616,125.22769,791688480572473253,23.55312264,-2.605017795,5.81862,0.04608982312,0.7213936289,0,Other hosts
47970,4140510467252,0,0,185.72556,61.843132,1.0117847,1.0713119e-29,11.284657,1.0134038,7.664684,17.900106,137.19865,791688586830737209,23.82521018,-3.790329268,4.15194,0.04847058905,0.7288081503,0,Other hosts
48898,4140510475423,0,0,185.75682,61.80065,1.030782,6.0798015e-29,11.562581,1.0292265,8.507117,19.996809,170.1152,791688135666297195,21.9402765,-2.903261117,1.60302,0.03197741937,0.6607021395,0,Other hosts
49402,4140510934697,0,0,185.89395,61.772133,1.0351499,5.08076e-29,11.781764,1.0327637,4.355654,46.40722,202.13377,791664519208761900,22.1351783,0.9880906276,-0.108,0.03368281011,0.7377278862,0,Other hosts
49579,4141520566281,0,0,185.78851,61.78526,1.094069,1.9613063e-29,11.303988,1.0896747,5.9635134,23.46647,139.94261,791685168806765317,23.16863644,-2.003990813,0.67962,0.04272556886,0.7383747626,0,Other hosts
50958,3939460548221,0,0,185.94473,61.831795,0.65801233,1.8282978e-29,11.235398,0.65710044,14.990334,8.556951,128.27155,791664827799540103,23.24488266,2.429079774,3.47172,0.04339272326,0.5464824613,0,Other hosts
51870,4442570450290,5,1,185.85527,61.84504,1.6650624,1.1034508e-29,11.640519,1.6668196,4.601804,40.080376,184.44203,791688334423982777,23.79311757,-0.1095356066,4.26642,0.0481897787,1.001727531,0,Other hosts
52044,4443570189123,12,1,185.69482,61.87362,1.7010889,1.0219164e-29,12.585308,1.7025522,4.091645,93.13277,381.0662,791688823808576310,23.87646158,-4.662641327,5.98122,0.04891903881,1.025859851,0,Other hosts
53313,4140500203380,14,1,185.8469,61.84339,0.9586914,1.9050438e-29,12.119353,0.95658636,8.83947,29.38395,259.73853,791688335199919170,23.20023759,-0.347051935,4.16742,0.04300207889,0.6874724183,0,Other hosts
53836,3737410049497,0,0,185.83255,61.821976,0.3155499,1.381082e-29,10.822207,0.3159474,13.349545,7.603258,87.311676,791688089629489821,23.54945134,-0.7542633223,2.88258,0.0460576992,0.3356674124,0,Other hosts
53911,3737410787398,9,1,185.65326,61.690334,0.357623,3.638682e-29,12.15242,0.3591875,5.430297,46.378765,251.85046,791684431008076672,22.49763974,-5.84199361,-5.01594,0.03685434776,0.3133996555,0,Other hosts
54779,3938460836895,0,0,185.74892,61.809822,0.627705,9.164486e-30,11.146672,0.6302426,9.156643,13.043557,119.435196,791688142163217094,23.99472972,-3.127440209,2.15334,0.04995388505,0.5651563678,0,Other hosts
56011,4140500635337,6,1,186.01125,61.730473,0.9805684,9.886096e-30,12.530241,0.9767101,4.138618,86.213165,356.80338,791664338715031787,23.91243794,4.316724476,-2.6076,0.04923383199,0.6727074167,0,Other hosts
56556,3737410786646,5,1,185.98756,61.744476,0.3564076,1.5816233e-28,12.50456,0.35817334,5.542375,60.429012,334.92026,791664372320178427,20.90224236,3.644470974,-1.76742,0.02289462069,0.2924432762,0,Other hosts
56960,3736400369988,5424,1,185.6924,61.704453,0.27712214,9.097568e-29,14.776993,0.2762364,4.352807,424.61133,1848.2512,791684466381038645,21.50268672,-4.73131391,-4.1688,0.02814850883,0.29999448,0,Other hosts
56987,3736400811792,1,1,185.89867,61.835278,0.2897974,1.0367285e-29,11.42452,0.29065168,14.539565,9.688356,140.86449,791688303388944200,23.86083741,1.12203054,3.6807,0.0487823273,0.1946112523,0,Other hosts
58145,4442570323217,0,0,185.6868,61.77022,1.6231369,2.492131e-28,12.848544,1.6237143,3.839415,121.32095,465.80148,791685334044702930,20.40857283,-4.890225671,-0.22278,0.01857501227,0.9729797797,0,Other hosts
59807,4443580441135,0,0,185.84944,61.78379,1.818726,3.4823507e-29,12.003355,1.8160809,3.7376559,65.31129,244.11111,791688007158341370,22.54531874,-0.2749741006,0.59142,0.03727153893,1.273689082,1,Other hosts
60473,3938450406332,0,0,185.9521,61.846096,0.57930446,2.2892906e-28,11.8790655,0.5796787,6.696174,31.334476,209.8211,791665577886361347,20.50074769,2.638219002,4.32978,0.01938154226,0.2115460941,-1,Other hosts
61128,4443580323700,10,1,185.94287,61.793266,1.7747484,1.0554267e-29,12.34148,1.770013,3.1833165,99.41036,316.45465,791664740526384591,23.84142981,2.376298367,1.15998,0.04861251082,0.9413788029,0,Other hosts
62956,3737410232968,0,0,185.932,61.82177,0.3198701,1.3658196e-29,10.777008,0.31949887,13.501051,9.945493,83.83531,791664834705439705,23.56151665,2.067839289,2.87022,0.04616327067,0.2909265385,0,Other hosts
63762,4443570188274,2,1,185.81882,61.731773,1.6924001,1.21699385e-29,11.804693,1.6942083,7.156118,29.22097,209.1087,791684975224709047,23.68677904,-1.143880907,-2.5296,0.04725931661,1.005477498,0,Other hosts
63955,3736400369988,1003,1,185.69974,61.76631,0.27753058,1.4816384e-29,14.776993,0.2762364,4.352807,424.61133,1848.2512,791685331549636744,23.47314444,-4.523025995,-0.45738,0.04539001382,0.2394148031,0,Other hosts
64122,3737410786646,11,1,186.0281,61.745674,0.35618973,2.709245e-29,12.50456,0.35817334,5.542375,60.429012,334.92026,791664034639504372,22.8178793,4.794878614,-1.69554,0.03965644386,0.3141536541,0,Other hosts
64556,3938450254086,2,1,186.03084,61.871223,0.56399125,4.5443855e-29,11.533535,0.56381744,10.585289,15.168282,160.56064,791665715595867458,22.25631209,4.872631869,5.8374,0.03474273076,0.4204528374,0,Other hosts
64573,3938450443704,3,1,185.99373,61.807686,0.60146433,2.8457405e-29,11.840163,0.6022075,4.7689657,42.625103,203.27766,791664712496782636,22.76451176,3.819557682,2.02518,0.03918947793,0.4316540861,0,Other hosts
65542,4443590940243,16,1,185.66373,61.83537,1.9232513,5.771792e-29,12.414152,1.9201483,4.391956,76.30309,335.1198,791688645297796018,21.99672332,-5.544885371,3.68622,0.03247132905,1.092576258,0,Other hosts
65673,3736400368931,7,1,185.65842,61.802883,0.28281966,1.706831e-28,12.27177,0.27564475,12.780715,21.386162,273.33044,791685642035939674,20.81952369,-5.695567773,1.737,0.02217083233,0.2534321643,0,Other hosts
66131,4140500611887,0,0,185.95241,61.767445,0.9638823,1.7379051e-28,11.906198,0.9626732,8.030925,27.4478,220.43121,791664527100716772,20.79993486,2.647015903,-0.38928,0.02199942999,0.6850799132,0,Other hosts
66249,4140510955828,49,1,185.84752,61.73325,1.0550132,3.046279e-29,12.807157,1.0540941,4.853552,91.082664,442.07443,791684959906070090,22.69057581,-0.3294581329,-2.44098,0.03854253832,0.6727028504,0,Other hosts
67755,3939460547282,0,0,185.69312,61.851555,0.65305483,9.732255e-30,10.996613,0.6531112,10.382691,30.651894,105.65463,791688617845035559,23.9294663,-4.710882398,4.65732,0.04938283013,0.5074029552,0,Other hosts
