z,pi_reference
2.222,0.1941317123
2.226,0.1947689778
2.23,0.1952821797
2.234,0.1955026696
2.238,0.1951562954
2.242,0.194017177
2.246,0.1920568661
2.25,0.1894689674
2.254,0.1865404161
2.258,0.1834501677
2.262,0.180141896
2.266,0.1763605953
2.27,0.1718378956
2.274,0.1665171557
2.278,0.1606788779
2.282,0.1548936147
2.286,0.1498229757
2.29,0.1459739193
2.294,0.1435244518
2.298,0.1422936441
2.302,0.1418416431
2.306,0.1416335908
2.31,0.141190582
2.314,0.1401917201
2.318,0.1385144455
2.322,0.1362295365
2.326,0.1335614959
2.33,0.1308283436
2.334,0.1283700863
2.338,0.126473942
2.342,0.1253092762
2.346,0.1248852708
2.35,0.1250517121
2.354,0.1255563233
2.358,0.1261510999
2.362,0.1266978315
2.366,0.127222893
2.37,0.1278838561
2.374,0.1288670726
2.378,0.1302749627
2.382,0.1320633718
2.386,0.1340589289
2.39,0.1360342875
2.394,0.137788921
2.398,0.1391961499
2.402,0.140206128
2.406,0.1408276951
2.41,0.1411122992
2.414,0.1411463208
2.418,0.1410401138
2.422,0.1409043315
2.426,0.1408134528
2.43,0.1407754719
2.434,0.140724902
2.438,0.1405466616
2.442,0.1401219479
2.446,0.1393820056
2.45,0.1383498415
2.454,0.1371474617
2.458,0.1359522622
2.462,0.1349121329
2.466,0.1340547932
2.47,0.1332450579
2.474,0.1322253945
2.478,0.1307301184
2.482,0.1286163364
2.486,0.12594218
2.49,0.1229485092
2.494,0.1199671461
2.498,0.1173074858
2.502,0.1151851389
2.506,0.1137062135
2.51,0.1128828495
2.514,0.112650673
2.518,0.1128718468
2.522,0.1133402647
2.526,0.1138115008
2.53,0.1140566205
2.534,0.1139250544
2.538,0.1133824635
2.542,0.1125117218
2.546,0.1114742831
2.55,0.1104489514
2.554,0.1095700405
2.558,0.1088837452
2.562,0.1083334441
2.566,0.1077772088
2.57,0.1070277769
2.574,0.1059068635
2.578,0.1043010186
2.582,0.1022034059
2.586,0.09972144442
2.59,0.09704478711
2.594,0.09438127183
2.598,0.09190070081
2.602,0.0897143737
2.606,0.08789881449
2.61,0.08653227229
2.614,0.0857042945
2.618,0.08548507251
2.622,0.08587509087
2.626,0.08677436816
2.63,0.08799300831
2.634,0.08929570432
2.638,0.09046065346
2.642,0.09133071512
2.646,0.09185082966
2.65,0.09207973404
2.654,0.09216635996
2.658,0.09228822365
2.662,0.09256649504
2.666,0.09299393905
2.67,0.09341270478
2.674,0.09355875246
2.678,0.09315935077
2.682,0.09204745451
2.686,0.09024515212
2.69,0.08798173533
2.694,0.08563420145
2.698,0.08360927725
2.702,0.08220978325
2.706,0.08153888284
2.71,0.08148228409
2.714,0.08177577857
2.718,0.08212762196
2.722,0.08233366188
2.726,0.08232617998
2.73,0.08213758524
2.734,0.08181120122
2.738,0.08132901669
2.742,0.08060385373
2.746,0.0795386151
2.75,0.0781039109
2.754,0.07638172964
2.758,0.07454716513
2.762,0.07280518401
2.766,0.07131476048
2.77,0.07014089461
2.774,0.06924711752
2.778,0.06853102231
2.782,0.06788280316
2.786,0.06724594953
2.79,0.06665243087
2.794,0.06621194084
2.798,0.06605124601
2.802,0.06623284407
2.806,0.06669899075
2.81,0.06728065524
2.814,0.06777315359
2.818,0.06803300076
2.822,0.0680392604
2.826,0.06788175985
2.83,0.06769105676
2.834,0.06755654788
2.838,0.06748211745
2.842,0.06739775687
2.846,0.06721059297
2.85,0.06686297847
2.854,0.06636439842
2.858,0.06578624575
2.862,0.06522418555
2.866,0.06475505616
2.87,0.06440877881
2.874,0.06417591083
2.878,0.06403891219
2.882,0.06400759023
2.886,0.06413073734
2.89,0.06447336462
2.894,0.06507118226
2.898,0.06588990337
2.902,0.06681516415
2.906,0.06768101779
2.91,0.06832552482
2.914,0.06864193162
2.918,0.06859949809
2.922,0.06822309684
2.926,0.06755189653
2.93,0.06660540111
2.934,0.0653797493
2.938,0.06387372668
2.942,0.06212108935
2.946,0.06020645526
2.95,0.05825499951
2.954,0.05640279426
2.958,0.05476546025
2.962,0.05341680297
2.966,0.05237285426
2.97,0.0515739748
2.974,0.05085796028
2.978,0.04994105475
2.982,0.04843474809
2.986,0.0459250064
2.99,0.04210896683
2.994,0.03694053137
2.998,0.03070896133
3.002,0.02399352641
3.006,0.01750001701
3.01,0.01184922895
3.014,0.007414588362
3.018,0.004271861145
3.022,0.002259095301
3.026,0.001093666141
3.03,0.0004834061461
3.034,0.0001946427858
3.038,7.098404817e-05
3.042,2.313270077e-05
3.046,6.519450604e-06
3.05,1.423009904e-06
3.054,1.699967451e-07
3.058,4.4631857e-09
3.062,5.002299216e-13
3.066,5.002299216e-13
